date,u_rate_15_24,u_rate,p_rate,youth_gap_pp
2016-01-31,10.7,3.4,67.7,7.299999999999999
2016-02-29,9.0,3.4,67.6,5.6
2016-03-31,10.9,3.5,67.9,7.4
2016-04-30,11.5,3.5,67.7,8.0
2016-05-31,11.1,3.4,67.7,7.699999999999999
2016-06-30,9.6,3.4,67.7,6.199999999999999
2016-07-31,11.8,3.5,67.8,8.3
2016-08-31,11.6,3.5,67.8,8.1
2016-09-30,10.6,3.5,67.6,7.1
2016-10-31,11.4,3.5,67.6,7.9
2016-11-30,9.5,3.4,67.7,6.1
2016-12-31,10.2,3.5,67.6,6.699999999999999
2017-01-31,12.0,3.4,67.7,8.6
2017-02-28,11.1,3.4,67.8,7.699999999999999
2017-03-31,10.1,3.4,67.7,6.699999999999999
2017-04-30,10.8,3.4,67.7,7.4
2017-05-31,12.2,3.4,67.8,8.799999999999999
2017-06-30,11.4,3.4,67.8,8.0
2017-07-31,11.3,3.5,67.7,7.800000000000001
2017-08-31,11.6,3.4,67.8,8.2
2017-09-30,10.3,3.4,67.9,6.9
2017-10-31,11.7,3.4,68.0,8.299999999999999
2017-11-30,11.7,3.3,67.9,8.399999999999999
2017-12-31,11.7,3.3,68.1,8.399999999999999
2018-01-31,12.3,3.4,68.2,8.9
2018-02-28,11.6,3.3,68.2,8.3
2018-03-31,11.7,3.3,68.2,8.399999999999999
2018-04-30,10.6,3.3,68.2,7.3
2018-05-31,10.6,3.3,68.4,7.3
2018-06-30,10.4,3.4,68.5,7.0
2018-07-31,11.8,3.4,68.6,8.4
2018-08-31,11.5,3.4,68.4,8.1
2018-09-30,10.5,3.3,68.5,7.2
2018-10-31,10.1,3.3,68.5,6.8
2018-11-30,10.5,3.3,68.4,7.2
2018-12-31,11.7,3.3,68.5,8.399999999999999
2019-01-31,10.6,3.3,68.6,7.3
2019-02-28,10.5,3.3,68.5,7.2
2019-03-31,9.9,3.4,68.4,6.5
2019-04-30,10.3,3.4,68.5,6.9
2019-05-31,10.5,3.3,68.5,7.2
2019-06-30,10.5,3.3,68.6,7.2
2019-07-31,10.2,3.3,68.5,6.8999999999999995
2019-08-31,11.2,3.3,68.6,7.8999999999999995
2019-09-30,11.1,3.3,68.7,7.8
2019-10-31,9.0,3.2,68.7,5.8
2019-11-30,9.5,3.2,68.8,6.3
2019-12-31,11.2,3.3,68.9,7.8999999999999995
2020-01-31,10.0,3.2,68.9,6.8
